item_id,pedido_id,produto_id,quantidade,preco_unitario,subtotal
6640203,913239,9866,2,959.88,1919.76
9470774,913239,7759,3,434.9,1304.7
2385349,913239,5205,3,898.72,2696.16
2437996,913239,9432,1,304.54,304.54
2264260,913239,2572,1,292.27,292.27
9623641,679493,8718,1,858.62,858.62
7057935,679493,8709,1,774.01,774.01
3780116,679493,7359,1,83.91,83.91
1889126,679493,6036,2,782.57,1565.14
6976670,679493,4454,1,668.95,668.95
8832469,267663,4230,2,122.25,244.5
2849797,267663,4814,1,680.42,680.42
4461931,267663,8011,3,888.52,2665.56
5173087,267663,7841,2,170.44,340.88
2827800,699688,9077,1,604.55,604.55
1568380,699688,7454,3,439.61,1318.83
2135699,602702,3544,3,41.67,125.01
2184523,952021,9558,3,128.69,386.07
5956297,952021,5136,2,487.26,974.52
1981091,952021,3928,2,43.55,87.1
3727985,952021,3946,1,132.25,132.25
3400232,522787,6678,1,840.66,840.66
4437816,522787,5746,2,384.68,769.36
6263070,990462,1131,1,877.77,877.77
3284609,990462,6474,1,101.97,101.97
4174484,990462,8126,2,439.34,878.68
8385119,990462,4793,1,622.92,622.92
7957689,990462,1277,2,980.19,1960.38
3279578,519176,5292,2,277.61,555.22
8267312,519176,7212,1,353.8,353.8
5443104,519176,5906,2,995.38,1990.76
1272686,659385,5287,1,932.02,932.02
1394157,659385,6474,2,101.97,203.94
8908988,659385,8248,3,859.54,2578.62
2120185,654820,1857,1,934.91,934.91
3340721,654820,3187,2,522.81,1045.62
7647572,654820,5330,1,978.32,978.32
9207721,896090,4826,3,437.71,1313.13
1091921,896090,2263,1,791.05,791.05
2256025,584765,2290,1,996.87,996.87
1968085,584765,9635,3,757.55,2272.65
8404461,584765,6645,1,120.03,120.03
5139435,584765,1146,3,249.16,747.48
5474327,178409,2772,2,199.08,398.16
9975422,178409,1383,1,378.89,378.89
6355770,887939,8818,2,449.11,898.22
5159560,887939,3277,3,125.13,375.39
7971604,887939,4818,1,517.09,517.09
9277347,289722,1703,1,470.4,470.4
4773737,289722,5221,3,750.98,2252.94
2122167,289722,4269,1,967.88,967.88
2983005,663150,1180,2,118.03,236.06
7736308,445040,5496,3,27.76,83.28
5845553,445040,4785,2,886.13,1772.26
8139861,445040,1580,2,173.05,346.1
9925673,445040,5448,2,255.02,510.04
8392846,491336,1457,1,556.0,556.0
8579992,491336,6423,3,566.18,1698.54
9323032,491336,5448,1,255.02,255.02
2296012,491336,8846,3,68.05,204.15
9611490,491336,9571,3,416.11,1248.33
7304071,258882,8955,2,500.42,1000.84
1949452,258882,8285,3,287.92,863.76
5755057,963946,5501,1,451.04,451.04
4971526,963946,4191,1,22.13,22.13
6592275,499967,3084,2,772.27,1544.54
9424894,149528,8143,3,355.45,1066.35
2643795,149528,6045,1,45.23,45.23
1538717,149528,2702,2,78.03,156.06
2628373,954384,1136,1,202.87,202.87
4530404,184137,6036,3,782.57,2347.71
3904908,184137,7245,2,445.85,891.7
9214649,184137,3537,2,882.99,1765.98
5863923,184137,8388,2,910.51,1821.02
3010646,680198,3084,1,772.27,772.27
5909638,680198,8651,2,114.68,229.36
1909754,680198,6331,3,51.95,155.85
6481870,484081,1136,1,202.87,202.87
9144473,484081,1568,3,170.59,511.77
