pedido_id,cliente_id,data_pedido,status,valor_total
913239,27874,2024-01-05 12:56:17,Confirmado,6517
679493,77948,2023-11-15 18:41:09,Pending,3950
267663,23863,2024-04-08 14:04:47,Pending,3931
699688,79354,2024-06-25 17:10:28,Confirmado,1923
602702,36097,2023-08-21 17:46:05,Confirmado,125
952021,95973,2024-12-28 18:41:20,Confirmado,1579
522787,25875,2023-10-07 06:21:51,Confirmado,1610
990462,60728,2023-09-17 21:45:01,Confirmado,4441
519176,22221,2025-07-08 09:19:21,Confirmado,2899
659385,21160,2024-03-11 13:58:21,Pending,3714
654820,69481,2025-02-23 07:37:45,Confirmado,2958
896090,83712,2024-11-06 11:47:38,Confirmado,2104
584765,94356,2024-03-27 20:55:07,Confirmado,4137
178409,13196,2023-08-26 18:19:26,CANCELADO,777
887939,77098,2024-10-30 17:35:16,Confirmado,1790
289722,79354,2023-12-21 03:21:33,CANCELADO,3691
663150,30390,2024-10-22 13:36:50,CANCELADO,236
445040,91135,2025-05-19 22:01:46,CANCELADO,2711
491336,45116,2024-06-24 00:27:41,CANCELADO,3962
258882,58997,2023-08-03 17:26:27,CANCELADO,1864
963946,82487,2024-01-28 01:59:21,Confirmado,473
499967,83712,2023-09-26 18:44:12,Pending,1544
149528,13196,2024-04-02 07:39:27,Pending,1267
954384,69166,2023-12-14 04:55:24,Pending,202
184137,95213,2024-07-14 22:29:51,Confirmado,6826
680198,77098,2024-06-26 19:10:47,Confirmado,1157
484081,36921,2024-01-28 05:52:18,CANCELADO,1261
287621,88503,2024-08-03 09:56:15,Confirmado,4112
572232,78406,2024-03-14 13:04:04,Confirmado,4241
389605,35538,2024-01-04 19:02:37,Pending,4341
127925,22174,2023-12-02 05:49:00,CANCELADO,3992
200817,63639,2025-06-03 04:49:45,CANCELADO,1166
849212,75620,2024-12-01 07:06:18,Confirmado,4721
201017,13470,2023-10-10 02:30:32,CANCELADO,2557
938461,12412,2023-12-17 00:36:28,Confirmado,3418
236952,18500,2024-01-26 17:18:39,Confirmado,1075
381506,57698,2024-10-07 01:36:43,Confirmado,297
153303,24371,2025-04-28 23:40:09,CANCELADO,4047
984415,73702,2024-07-27 09:31:39,Confirmado,1666
673182,57719,2024-12-03 10:28:18,Confirmado,1355
461704,91090,2025-04-09 17:27:32,Confirmado,3776
520591,43334,2024-04-11 08:23:21,Pending,2160
652702,32917,2024-11-26 09:50:14,Pending,5208
792064,96008,2025-07-21 19:23:22,Confirmado,3312
963610,35799,2023-11-24 15:23:30,Confirmado,33
886072,99847,2023-08-21 02:30:07,Confirmado,4178
699513,74522,2025-03-11 03:15:35,Confirmado,1210
523270,60784,2024-05-18 18:22:15,Confirmado,1929
612137,91090,2023-12-06 04:44:10,CANCELADO,2947
786733,65837,2023-11-20 14:48:11,Confirmado,5582
427205,78462,2024-04-14 08:41:00,Confirmado,8181
572955,11352,2025-01-14 13:09:02,Confirmado,1756
734919,52021,2024-09-07 02:46:05,Confirmado,2387
920745,34522,2024-08-10 02:48:50,Confirmado,2105
818068,61863,2023-10-21 15:14:03,Confirmado,1435
361372,34777,2025-02-10 03:53:27,Confirmado,1554
665468,15578,2024-02-19 03:09:49,Confirmado,3382
229789,63947,2023-10-11 09:36:43,Pending,3531
739895,52126,2024-12-19 13:31:56,Confirmado,3716
659213,36097,2024-10-05 14:29:25,Pending,5508
807574,85278,2025-05-03 23:01:45,Confirmado,4697
540793,48196,2025-06-28 03:58:43,Confirmado,3411
914775,48653,2024-02-15 03:41:26,Confirmado,3538
975065,46136,2024-09-11 19:42:23,Confirmado,4283
145538,70757,2024-10-21 16:41:15,CANCELADO,3777
777384,82387,2025-02-28 14:42:21,Confirmado,2121
797775,62629,2025-04-16 07:23:08,Pending,1689
919447,78570,2023-10-04 02:45:44,Confirmado,2941
725768,62629,2024-11-20 20:04:22,Confirmado,1512
156580,54925,2024-04-05 21:35:39,Pending,4804
543238,95494,2023-10-29 09:32:53,Confirmado,2930
873905,41403,2024-05-28 14:42:58,Confirmado,1424
423207,62802,2024-02-29 22:15:45,Pending,428
571131,59317,2025-02-06 21:30:54,CANCELADO,73
506661,27874,2025-07-10 03:18:27,Confirmado,1250
432138,83129,2024-06-02 23:42:43,Confirmado,3161
490006,64819,2023-08-31 11:34:16,CANCELADO,5373
695412,73702,2025-03-25 05:17:39,Confirmado,5454
491330,82107,2025-02-19 13:36:31,Pending,311
639370,32152,2024-09-27 22:22:50,Confirmado,1672
945843,53332,2024-12-16 15:11:01,CANCELADO,4941
737885,68325,2024-02-18 03:55:07,Confirmado,6988
815816,78086,2024-02-07 21:17:43,Confirmado,4647
689622,96694,2024-01-26 02:41:23,Confirmado,4110
967935,97430,2025-01-30 09:45:39,Confirmado,966
777783,81354,2024-11-12 04:14:47,Confirmado,3855
460255,22933,2025-02-06 13:42:42,Confirmado,2797
757917,34596,2023-09-16 05:23:34,CANCELADO,1195
562157,23121,2023-12-29 05:07:01,Pending,907
339791,48196,2024-11-03 07:02:24,Confirmado,1474
768091,29371,2024-07-16 19:12:55,Confirmado,4253
586917,18351,2024-05-08 21:38:00,Confirmado,3688
914254,97055,2025-07-21 19:41:33,CANCELADO,2207
132518,66805,2025-06-06 12:05:19,CANCELADO,118
239312,19595,2024-11-04 00:38:17,Confirmado,5271
723698,43738,2024-12-25 02:42:28,Confirmado,885
705608,53957,2025-01-02 15:40:36,Confirmado,2920
